ORIGEN;DESTINO
GUAYAQUIL;RIONEGRO - ANTIOQUIA
HABANA;CALI
HABANA;RIONEGRO - ANTIOQUIA
HONG KONG;RIONEGRO - ANTIOQUIA
LAS VEGAS;CALI
LAS VEGAS;RIONEGRO - ANTIOQUIA
HOUSTON;RIONEGRO - ANTIOQUIA
NEW YORK;RIONEGRO - ANTIOQUIA
WASHINGTON;BOGOTA
WASHINGTON;RIONEGRO - ANTIOQUIA
HOUSTON;BOGOTA
HOUSTON;RIONEGRO - ANTIOQUIA
INCHEON;BOGOTA
INCHEON;RIONEGRO - ANTIOQUIA
KANSAS CITY;BOGOTA
INDIANA;BOGOTA
INDIANA;RIONEGRO - ANTIOQUIA
ESTAMBUL;BARRANQUILLA
ESTAMBUL;CARTAGENA
ESTAMBUL;RIONEGRO - ANTIOQUIA
FLORIDA;BOGOTA
FLORIDA;RIONEGRO - ANTIOQUIA
NEW YORK;BOGOTA
NEW YORK;CALI
NEW YORK;RIONEGRO - ANTIOQUIA
KINGSTON;BOGOTA
KINGSTON;CALI
KINGSTON;RIONEGRO - ANTIOQUIA
LAS VEGAS;BOGOTA
LAS VEGAS;RIONEGRO - ANTIOQUIA
LOS ANGELES;BOGOTA
LOS ANGELES;RIONEGRO - ANTIOQUIA
KENTUCKY;RIONEGRO - ANTIOQUIA
LONDRES;CALI
LONDRES;RIONEGRO - ANTIOQUIA
LIMA;RIONEGRO - ANTIOQUIA
ROMA;RIONEGRO - ANTIOQUIA
LISBOA;CALI
ARKANSAS;BOGOTA
ARKANSAS;RIONEGRO - ANTIOQUIA
LA PAZ;RIONEGRO - ANTIOQUIA
MADRID;BOGOTA
MADRID;CALI
MADRID;RIONEGRO - ANTIOQUIA
MARACAIBO;RIONEGRO - ANTIOQUIA
MONTEJO BAY;RIONEGRO - ANTIOQUIA
KANSAS CITY;BOGOTA
KANSAS CITY;RIONEGRO - ANTIOQUIA
ORLANDO;BOGOTA
ORLANDO;RIONEGRO - ANTIOQUIA
RIONEGRO - ANTIOQUIA;AMSTERDAM
RIONEGRO - ANTIOQUIA;ST. JOHN'S
RIONEGRO - ANTIOQUIA;ESTOCOLMO
RIONEGRO - ANTIOQUIA;ATLANTA
RIONEGRO - ANTIOQUIA;ARUBA
RIONEGRO - ANTIOQUIA;BARCELONA
RIONEGRO - ANTIOQUIA;BOSTON
RIONEGRO - ANTIOQUIA;BELIZE
RIONEGRO - ANTIOQUIA;PARIS
RIONEGRO - ANTIOQUIA;CUCUTA
RIONEGRO - ANTIOQUIA;CURACAO
RIONEGRO - ANTIOQUIA;DALAS
RIONEGRO - ANTIOQUIA;QATAR
RIONEGRO - ANTIOQUIA;DUBAI
RIONEGRO - ANTIOQUIA;NEW YORK
RIONEGRO - ANTIOQUIA;ROMA
RIONEGRO - ANTIOQUIA;AIME CESAIRE
RIONEGRO - ANTIOQUIA;FRANKFURT
RIONEGRO - ANTIOQUIA;GRAN CAYMAN
RIONEGRO - ANTIOQUIA;SAO PAULO
RIONEGRO - ANTIOQUIA;GUATEMALA
RIONEGRO - ANTIOQUIA;LAS VEGAS
RIONEGRO - ANTIOQUIA;INCHEON
RIONEGRO - ANTIOQUIA;ESTAMBUL
RIONEGRO - ANTIOQUIA;NEW YORK
RIONEGRO - ANTIOQUIA;KINGSTON
RIONEGRO - ANTIOQUIA;LOS ANGELES
RIONEGRO - ANTIOQUIA;LONDRES
RIONEGRO - ANTIOQUIA;ROMA
RIONEGRO - ANTIOQUIA;MADRID
RIONEGRO - ANTIOQUIA;MONTEJO BAY
RIONEGRO - ANTIOQUIA;MEXICO
RIONEGRO - ANTIOQUIA;MIAMI
RIONEGRO - ANTIOQUIA;MERIDA
RIONEGRO - ANTIOQUIA;ILLINOIS
RIONEGRO - ANTIOQUIA;MILANO
RIONEGRO - ANTIOQUIA;NASSAU
RIONEGRO - ANTIOQUIA;TOKIO
RIONEGRO - ANTIOQUIA;CALIFORNIA
RIONEGRO - ANTIOQUIA;CHICAGO
RIONEGRO - ANTIOQUIA;PUERTO PRINCIPE
RIONEGRO - ANTIOQUIA;PUERTO LOPEZ
RIONEGRO - ANTIOQUIA;PUERTO PLATA
RIONEGRO - ANTIOQUIA;PUERTO ESPANA
RIONEGRO - ANTIOQUIA;POINTE A PITRE
RIONEGRO - ANTIOQUIA;RALEIGH
RIONEGRO - ANTIOQUIA;SANTO DOMINGO
RIONEGRO - ANTIOQUIA;SEATTLE
RIONEGRO - ANTIOQUIA;SAN JUAN
RIONEGRO - ANTIOQUIA;SAINT KITTS
RIONEGRO - ANTIOQUIA;SANTIAGO DE LOS CABALLEROS
RIONEGRO - ANTIOQUIA;SAINT LOUIS
RIONEGRO - ANTIOQUIA;ESTOCOLMO
RIONEGRO - ANTIOQUIA;SAN MARTIN
RIONEGRO - ANTIOQUIA;TEL AVIV
RIONEGRO - ANTIOQUIA;VIEUX FORT QUARTER
RIONEGRO - ANTIOQUIA;MONTREAL
RIONEGRO - ANTIOQUIA;VANCOUVER
RIONEGRO - ANTIOQUIA;TORONTO
MEMPHIS;BOGOTA
MEMPHIS;RIONEGRO - ANTIOQUIA
MEXICO;BOGOTA
MANAGUA;RIONEGRO - ANTIOQUIA
KANSAS CITY;RIONEGRO - ANTIOQUIA
MIAMI;SAN ANDRES
MIAMI;BARRANQUILLA
MIAMI;BOGOTA
MIAMI;CALI
MIAMI;CARTAGENA
MIAMI;RIONEGRO - ANTIOQUIA
MIAMI;PEREIRA
MERIDA;RIONEGRO - ANTIOQUIA
WISCONSIN;BOGOTA
MITU;RIONEGRO - ANTIOQUIA
MINNEAPOLIS;BOGOTA
MINNEAPOLIS;RIONEGRO - ANTIOQUIA
NEW ORLEANS;RIONEGRO - ANTIOQUIA
MONTERREY;CALI
MONTEVIDEO;RIONEGRO - ANTIOQUIA
MILANO;CALI
MILANO;RIONEGRO - ANTIOQUIA
NASSAU;CALI
NASSAU;RIONEGRO - ANTIOQUIA
NEBRASKA;BOGOTA
CHICAGO;BOGOTA
CHICAGO;RIONEGRO - ANTIOQUIA
NORFOLKVA BEACH;BOGOTA
NORFOLKVA BEACH;RIONEGRO - ANTIOQUIA
OSLO;RIONEGRO - ANTIOQUIA
PUERTO PRINCIPE;RIONEGRO - ANTIOQUIA
WEST PALM BECH;RIONEGRO - ANTIOQUIA
PARAMARIBO;RIONEGRO - ANTIOQUIA
PUERTO DESEADO;RIONEGRO - ANTIOQUIA
OREGON;BOGOTA
PEREIRA;MADRID
PEREIRA;MIAMI
BEIJING;RIONEGRO - ANTIOQUIA
PHILADELPHIA;BOGOTA
PHILADELPHIA;RIONEGRO - ANTIOQUIA
ARIZONA;BOGOTA
ARIZONA;RIONEGRO - ANTIOQUIA
PEORIA;BOGOTA
PITTSBURGH;BOGOTA
PITTSBURGH;RIONEGRO - ANTIOQUIA
PUERTO LOPEZ;CALI
PUERTO LOPEZ;RIONEGRO - ANTIOQUIA
PENSACOLA;BOGOTA
PENSACOLA;RIONEGRO - ANTIOQUIA
PUERTO PLATA;RIONEGRO - ANTIOQUIA
PUERTO ESPANA;CALI
PUERTO ESPANA;RIONEGRO - ANTIOQUIA
PANAMA;CALI
PUNTA CANA;RIONEGRO - ANTIOQUIA
PROVIDENCE;RIONEGRO - ANTIOQUIA
PORTLAND;RIONEGRO - ANTIOQUIA
RALEIGH;BOGOTA
RALEIGH;RIONEGRO - ANTIOQUIA
RECIFE;BOGOTA
RICHMOND;RIONEGRO - ANTIOQUIA
RENO;BOGOTA
ROCHETER;RIONEGRO - ANTIOQUIA
FLORIDA;BOGOTA
SAN DIEGO;BOGOTA
SAN DIEGO;RIONEGRO - ANTIOQUIA
SAN PEDRO SULA;RIONEGRO - ANTIOQUIA
SAN ANTONIO;BOGOTA
SAN ANTONIO;RIONEGRO - ANTIOQUIA
GEORGIA;RIONEGRO - ANTIOQUIA
SANTIAGO;RIONEGRO - ANTIOQUIA
KENTUCKY;BOGOTA
KENTUCKY;RIONEGRO - ANTIOQUIA
SANTO DOMINGO;BARRANQUILLA
SANTO DOMINGO;RIONEGRO - ANTIOQUIA
SEATTLE;BOGOTA
SEATTLE;RIONEGRO - ANTIOQUIA
SAN FRANCISCO;BOGOTA
SAN FRANCISCO;RIONEGRO - ANTIOQUIA
SAN MARTIN;CALI
SAN JOSE DEL CABO;BOGOTA
SAN JOSE;BOGOTA
SAN JOSE;RIONEGRO - ANTIOQUIA
SAN JUAN;BARRANQUILLA
SAN JUAN;BOGOTA
SAN JUAN;CARTAGENA
SAN JUAN;RIONEGRO - ANTIOQUIA
SAN JUAN;PEREIRA
SACRAMENTO;BOGOTA
SANTA ANA;BOGOTA
SANTA ANA;RIONEGRO - ANTIOQUIA
SANTIAGO DE LOS CABALLEROS;RIONEGRO - ANTIOQUIA
SAINT LOUIS;BOGOTA
SAINT LOUIS;RIONEGRO - ANTIOQUIA
SAN MARTIN;BOGOTA
SAN MARTIN;RIONEGRO - ANTIOQUIA
SYDNEY;BOGOTA
TEGUCIGALPA;RIONEGRO - ANTIOQUIA
FLORIDA;BOGOTA
FLORIDA;RIONEGRO - ANTIOQUIA
TEL AVIV;BARRANQUILLA
TEL AVIV;CALI
TEL AVIV;RIONEGRO - ANTIOQUIA
TEL AVIV;PEREIRA
TAMPA;BOGOTA
TAMPA;RIONEGRO - ANTIOQUIA
OKLAHOMA;BOGOTA
OKLAHOMA;RIONEGRO - ANTIOQUIA
ARIZONA;BOGOTA
ARIZONA;RIONEGRO - ANTIOQUIA
KNOXVILLE;RIONEGRO - ANTIOQUIA
ARKANSAS;BOGOTA
ARKANSAS;RIONEGRO - ANTIOQUIA
EDMONTON;RIONEGRO - ANTIOQUIA
MONTREAL;BARRANQUILLA
MONTREAL;BOGOTA
MONTREAL;CALI
MONTREAL;CARTAGENA
MONTREAL;RIONEGRO - ANTIOQUIA
VANCOUVER;BOGOTA
CALGARY;BOGOTA
CALGARY;RIONEGRO - ANTIOQUIA
TORONTO;BARRANQUILLA
TORONTO;BOGOTA
TORONTO;CALI
TORONTO;CARTAGENA
TORONTO;RIONEGRO - ANTIOQUIA
TORONTO;PEREIRA
BOGOTA;TORONTO
TORONTO;BOGOTA
ARARACUARA;SAN JOSE DEL GUAVIARE
ARMENIA;BOGOTA
BARRANQUILLA;BOGOTA
BUCARAMANGA;BOGOTA
BOGOTA;BARRANQUILLA
BOGOTA;CARACAS
BOGOTA;CALI
BOGOTA;CARTAGENA
BOGOTA;CURACAO
BOGOTA;LETICIA
BOGOTA;LIMA
BOGOTA;RIONEGRO - ANTIOQUIA
BOGOTA;MIAMI
BOGOTA;SAN JOSE
BOGOTA;VILLAVICENCIO
CARACAS;BOGOTA
CALI;ARMENIA
CALI;VILLAVICENCIO
CARTAGENA;BOGOTA
CUCUTA;BOGOTA
CURACAO;BOGOTA
IQUITOS;BOGOTA
LA CHORRERA;ARARACUARA
LETICIA;BOGOTA
LIMA;BOGOTA
RIONEGRO - ANTIOQUIA;BUCARAMANGA
RIONEGRO - ANTIOQUIA;CUCUTA
MIRAFLORES - GUAVIARE;SAN JOSE DEL GUAVIARE
MIAMI;BOGOTA
MITU;SAN JOSE DEL GUAVIARE
PANAMA;BOGOTA
SAN JOSE DEL GUAVIARE;LA CHORRERA
SAN JOSE DEL GUAVIARE;MIRAFLORES - GUAVIARE
SAN JOSE DEL GUAVIARE;MITU
VILLAVICENCIO;BOGOTA
VIRU VIRU;BOGOTA
MALAGA;BOGOTA
MALAGA;RIONEGRO - ANTIOQUIA
ALICANTE;BOGOTA
ALICANTE;RIONEGRO - ANTIOQUIA
AMSTERDAM;BOGOTA
AMSTERDAM;RIONEGRO - ANTIOQUIA
ATENAS;RIONEGRO - ANTIOQUIA
BARCELONA;BOGOTA
BARCELONA;RIONEGRO - ANTIOQUIA
BEIRUT;RIONEGRO - ANTIOQUIA
BILBAO;BOGOTA
BILBAO;RIONEGRO - ANTIOQUIA
BOGOTA;ARECIFE
BOGOTA;MALAGA
BOGOTA;ALICANTE
BOGOTA;AMSTERDAM
BOGOTA;BARCELONA
BOGOTA;BEIRUT
BOGOTA;BILBAO
BOGOTA;BRUSELAS
BOGOTA;ROMA
BOGOTA;FRANKFURT
BOGOTA;EIVISSA
BOGOTA;LA CORUÑA
BOGOTA;SHANWIK
BOGOTA;LISBOA
BOGOTA;BOSCONIA
BOGOTA;MADRID
BOGOTA;MUNICH
BOGOTA;MILANO
BOGOTA;PORTO
BOGOTA;MADRID
BOGOTA;MARRAKECH
BOGOTA;TENERIFE
BOGOTA;TEL AVIV
BOGOTA;VIGO
BOGOTA;VALENCIA
BOGOTA;ZURICH
BRUSELAS;BOGOTA
BRUSELAS;RIONEGRO - ANTIOQUIA
ROMA;BOGOTA
ROMA;RIONEGRO - ANTIOQUIA
FRANKFURT;BOGOTA
FRANKFURT;RIONEGRO - ANTIOQUIA
EIVISSA;BOGOTA
EIVISSA;RIONEGRO - ANTIOQUIA
LA CORUÑA;BOGOTA
LA CORUÑA;RIONEGRO - ANTIOQUIA
SHANWIK;BOGOTA
SHANWIK;RIONEGRO - ANTIOQUIA
LISBOA;BOGOTA
LISBOA;RIONEGRO - ANTIOQUIA
BOSCONIA;BOGOTA
BOSCONIA;RIONEGRO - ANTIOQUIA
MADRID;BOGOTA
MADRID;RIONEGRO - ANTIOQUIA
RIONEGRO - ANTIOQUIA;ARECIFE
RIONEGRO - ANTIOQUIA;MALAGA
RIONEGRO - ANTIOQUIA;ALICANTE
RIONEGRO - ANTIOQUIA;AMSTERDAM
RIONEGRO - ANTIOQUIA;BARCELONA
RIONEGRO - ANTIOQUIA;BILBAO
RIONEGRO - ANTIOQUIA;BRUSELAS
RIONEGRO - ANTIOQUIA;ROMA
RIONEGRO - ANTIOQUIA;FRANKFURT
RIONEGRO - ANTIOQUIA;EIVISSA
RIONEGRO - ANTIOQUIA;LA CORUÑA
RIONEGRO - ANTIOQUIA;SHANWIK
RIONEGRO - ANTIOQUIA;LISBOA
RIONEGRO - ANTIOQUIA;BOSCONIA
RIONEGRO - ANTIOQUIA;MADRID
RIONEGRO - ANTIOQUIA;MUNICH
RIONEGRO - ANTIOQUIA;MILANO
RIONEGRO - ANTIOQUIA;PORTO
RIONEGRO - ANTIOQUIA;MADRID
RIONEGRO - ANTIOQUIA;MARRAKECH
RIONEGRO - ANTIOQUIA;TENERIFE
RIONEGRO - ANTIOQUIA;TEL AVIV
RIONEGRO - ANTIOQUIA;VIGO
RIONEGRO - ANTIOQUIA;VALENCIA
RIONEGRO - ANTIOQUIA;ZURICH
MUNICH;BOGOTA
MUNICH;RIONEGRO - ANTIOQUIA
MILANO;BOGOTA
MILANO;RIONEGRO - ANTIOQUIA
PORTO;BOGOTA
PORTO;RIONEGRO - ANTIOQUIA
MADRID;BOGOTA
MADRID;RIONEGRO - ANTIOQUIA
MARRAKECH;BOGOTA
TENERIFE;BOGOTA
TENERIFE;RIONEGRO - ANTIOQUIA
TEL AVIV;BOGOTA
TEL AVIV;RIONEGRO - ANTIOQUIA
VIGO;BOGOTA
VIGO;RIONEGRO - ANTIOQUIA
VALENCIA;BOGOTA
VALENCIA;RIONEGRO - ANTIOQUIA
ZURICH;BOGOTA
ZURICH;RIONEGRO - ANTIOQUIA
ABIDJAN;BOGOTA
ACCRA;BOGOTA
MALAGA;BOGOTA
AMSTERDAM;BOGOTA
ESTOCOLMO;BOGOTA
ATENAS;BOGOTA
BARCELONA;BOGOTA
BECERRIL;BOGOTA
BEIRUT;BOGOTA
BIRMINGHAN;BOGOTA
BILBAO;BOGOTA
BIARRITZ;BOGOTA
BILLUND;BOGOTA
BOLOGNA;BOGOTA
BORDEAUX;BOGOTA
BOGOTA;MALAGA
BOGOTA;AMSTERDAM
BOGOTA;ESTOCOLMO
BOGOTA;ATENAS
BOGOTA;BARCELONA
BOGOTA;BECERRIL
BOGOTA;BEIRUT
BOGOTA;BIRMINGHAN
BOGOTA;BILBAO
BOGOTA;BIARRITZ
BOGOTA;BILLUND
BOGOTA;BOLOGNA
BOGOTA;BORDEAUX
BOGOTA;BASEL
BOGOTA;BUDAPEST
BOGOTA;BOGOTA
BOGOTA;PARIS
BOGOTA;CASABLANCA
BOGOTA;COPENHAGEN
BOGOTA;YOPAL
BOGOTA;DUBLIN
BOGOTA;DUBAI
BOGOTA;ROMA
BOGOTA;CODAZZI
BOGOTA;FRANKFURT
BOGOTA;GENOVA
BOGOTA;HANNOVER
BOGOTA;HAMBURG
BOGOTA;INCHEON
BOGOTA;ESTAMBUL
BOGOTA;JOHANNESBURG
BOGOTA;KEFLAVIK
BOGOTA;CODAZZI
BOGOTA;LONDRES
BOGOTA;LISBOA
BOGOTA;LUXEMBURGO
BOGOTA;LYON
BOGOTA;PAZ DE ARIPORO
BOGOTA;MADRID
BOGOTA;MARSELLA
BOGOTA;MUNICH
BOGOTA;MILANO
BOGOTA;NAPOLES
BOGOTA;NICE
BOGOTA;TRINIDAD
BOGOTA;PORTO
BOGOTA;OSLO
BOGOTA;BUCAREST
BOGOTA;PALERMO
BOGOTA;PRAGA
BOGOTA;SHANGHAI
BOGOTA;RIGA
BOGOTA;RIYADH
BOGOTA;SAN MARTIN
BOGOTA;SANTA RITA DE ITUANGO
BOGOTA;TOULOUSE
BOGOTA;TEL AVIV
BOGOTA;VENECIA
BOGOTA;VIENNA
BOGOTA;VALENCIA
BOGOTA;WARSAW
BOGOTA;ZAGREB
BOGOTA;ZURICH
MUMBAI;BOGOTA
BRUSELAS;BOGOTA
BASEL;BOGOTA
BUDAPEST;BOGOTA
BOGOTA;BOGOTA
PARIS;BOGOTA
CASABLANCA;BOGOTA
COPENHAGEN;BOGOTA
DUBROVICK;BOGOTA
YOPAL;BOGOTA
QATAR;BOGOTA
DUBLIN;BOGOTA
DUBAI;BOGOTA
ROMA;BOGOTA
CODAZZI;BOGOTA
FRANKFURT;BOGOTA
GENOVA;BOGOTA
HANNOVER;BOGOTA
HAMBURG;BOGOTA
INCHEON;BOGOTA
ESTAMBUL;BOGOTA
JOHANNESBURG;BOGOTA
KEFLAVIK;BOGOTA
CODAZZI;BOGOTA
LONDRES;BOGOTA
LISBOA;BOGOTA
LUXEMBURGO;BOGOTA
LYON;BOGOTA
PAZ DE ARIPORO;BOGOTA
MADRID;BOGOTA
MARSELLA;BOGOTA
MUNICH;BOGOTA
MILANO;BOGOTA
NAPOLES;BOGOTA
NICE;BOGOTA
TRINIDAD;BOGOTA
PORTO;BOGOTA
OSLO;BOGOTA
BUCAREST;BOGOTA
NORDELA;BOGOTA
BEIJING;BOGOTA
MADRID;BOGOTA
PALERMO;BOGOTA
PRAGA;BOGOTA
SHANGHAI;BOGOTA
MARRAKECH;BOGOTA
CASABLANCA;BOGOTA
RIGA;BOGOTA
RIYADH;BOGOTA
SAN MARTIN;BOGOTA
SANTA RITA DE ITUANGO;BOGOTA
TOULOUSE;BOGOTA
TEL AVIV;BOGOTA
TAIPEI;BOGOTA
VENECIA;BOGOTA
VIENNA;BOGOTA
VALENCIA;BOGOTA
WARSAW;BOGOTA
MONTREAL;BOGOTA
ZAGREB;BOGOTA
ZURICH;BOGOTA
ACAPULCO;BOGOTA
ACAPULCO;RIONEGRO - ANTIOQUIA
AGUAZUL;BOGOTA
AGUAZUL;RIONEGRO - ANTIOQUIA
AMSTERDAM;BOGOTA
AMSTERDAM;RIONEGRO - ANTIOQUIA
TEXAS;RIONEGRO - ANTIOQUIA
LEON;BOGOTA
LEON;RIONEGRO - ANTIOQUIA
BOGOTA;ACAPULCO
BOGOTA;AGUAZUL
BOGOTA;AMSTERDAM
BOGOTA;TEXAS
BOGOTA;LEON
BOGOTA;PARIS
BOGOTA;BOGOTA
BOGOTA;ARIGUANI
BOGOTA;CULIACAN
BOGOTA;CANCUN
BOGOTA;CHIHUAHUA
BOGOTA;COLORADO
BOGOTA;DALAS
BOGOTA;GUADALAJARA
BOGOTA;HOUSTON
BOGOTA;PAZ DE ARIPORO
BOGOTA;LAS VEGAS
BOGOTA;LOS ANGELES
BOGOTA;LONDRES
BOGOTA;MADRID
BOGOTA;ORLANDO
BOGOTA;MEXICO
BOGOTA;MANAGUA
BOGOTA;MIAMI
BOGOTA;MERIDA
BOGOTA;MITU
BOGOTA;MONTERREY
BOGOTA;TOKIO
BOGOTA;OAXACA
BOGOTA;CHICAGO
BOGOTA;PANAMA
BOGOTA;SAN ANTONIO
BOGOTA;SEATTLE
BOGOTA;SAN FRANCISCO
BOGOTA;SAN JOSE DEL CABO
BOGOTA;TAMPICO
BOGOTA;LETICIA
BOGOTA;TIGUANA
BOGOTA;TORREON
BOGOTA;VILLA HERMOSA
BOGOTA;MONTREAL
BOGOTA;VANCOUVER
PARIS;BOGOTA
PARIS;RIONEGRO - ANTIOQUIA
BOGOTA;BOGOTA
BOGOTA;RIONEGRO - ANTIOQUIA
ARIGUANI;BOGOTA
CULIACAN;BOGOTA
CULIACAN;RIONEGRO - ANTIOQUIA
CANCUN;BOGOTA
CANCUN;RIONEGRO - ANTIOQUIA
CHIHUAHUA;BOGOTA
CHIHUAHUA;RIONEGRO - ANTIOQUIA
COLORADO;BOGOTA
COLORADO;RIONEGRO - ANTIOQUIA
DALAS;BOGOTA
DALAS;RIONEGRO - ANTIOQUIA
GUADALAJARA;BOGOTA
GUADALAJARA;RIONEGRO - ANTIOQUIA
SAO PAULO;BOGOTA
HOUSTON;BOGOTA
HOUSTON;RIONEGRO - ANTIOQUIA
NEW YORK;RIONEGRO - ANTIOQUIA
PAZ DE ARIPORO;BOGOTA
PAZ DE ARIPORO;RIONEGRO - ANTIOQUIA
LAS VEGAS;BOGOTA
LAS VEGAS;RIONEGRO - ANTIOQUIA
LOS ANGELES;BOGOTA
LOS ANGELES;RIONEGRO - ANTIOQUIA
LONDRES;BOGOTA
LIMA;BOGOTA
MADRID;BOGOTA
MADRID;RIONEGRO - ANTIOQUIA
ORLANDO;RIONEGRO - ANTIOQUIA
RIONEGRO - ANTIOQUIA;ACAPULCO
RIONEGRO - ANTIOQUIA;AGUAZUL
RIONEGRO - ANTIOQUIA;AMSTERDAM
RIONEGRO - ANTIOQUIA;LEON
RIONEGRO - ANTIOQUIA;PARIS
RIONEGRO - ANTIOQUIA;BOGOTA
RIONEGRO - ANTIOQUIA;ARIGUANI
RIONEGRO - ANTIOQUIA;CULIACAN
RIONEGRO - ANTIOQUIA;CANCUN
RIONEGRO - ANTIOQUIA;CHIHUAHUA
RIONEGRO - ANTIOQUIA;COLORADO
RIONEGRO - ANTIOQUIA;DALAS
RIONEGRO - ANTIOQUIA;GUADALAJARA
RIONEGRO - ANTIOQUIA;SAO PAULO
RIONEGRO - ANTIOQUIA;HOUSTON
RIONEGRO - ANTIOQUIA;NEW YORK
RIONEGRO - ANTIOQUIA;PAZ DE ARIPORO
RIONEGRO - ANTIOQUIA;LAS VEGAS
RIONEGRO - ANTIOQUIA;LOS ANGELES
RIONEGRO - ANTIOQUIA;LONDRES
RIONEGRO - ANTIOQUIA;MADRID
RIONEGRO - ANTIOQUIA;MEXICO
RIONEGRO - ANTIOQUIA;MIAMI
RIONEGRO - ANTIOQUIA;MERIDA
RIONEGRO - ANTIOQUIA;MITU
RIONEGRO - ANTIOQUIA;MONTERREY
RIONEGRO - ANTIOQUIA;OAXACA
RIONEGRO - ANTIOQUIA;SAN ANTONIO
RIONEGRO - ANTIOQUIA;SEATTLE
RIONEGRO - ANTIOQUIA;SAN FRANCISCO
RIONEGRO - ANTIOQUIA;SAN JOSE DEL CABO
RIONEGRO - ANTIOQUIA;TAMPICO
RIONEGRO - ANTIOQUIA;LETICIA
RIONEGRO - ANTIOQUIA;TIGUANA
RIONEGRO - ANTIOQUIA;TORREON
RIONEGRO - ANTIOQUIA;VILLA HERMOSA
RIONEGRO - ANTIOQUIA;MONTREAL
RIONEGRO - ANTIOQUIA;VANCOUVER
RIONEGRO - ANTIOQUIA;TORONTO
MEXICO;BOGOTA
MEXICO;RIONEGRO - ANTIOQUIA
MIAMI;BOGOTA
MIAMI;RIONEGRO - ANTIOQUIA
MERIDA;BOGOTA
MERIDA;RIONEGRO - ANTIOQUIA
MITU;BOGOTA
MITU;RIONEGRO - ANTIOQUIA
MONTERREY;BOGOTA
MONTERREY;RIONEGRO - ANTIOQUIA
OAXACA;BOGOTA
OAXACA;RIONEGRO - ANTIOQUIA
CHICAGO;BOGOTA
CHICAGO;RIONEGRO - ANTIOQUIA
SAN ANTONIO;BOGOTA
SAN ANTONIO;RIONEGRO - ANTIOQUIA
SANTIAGO;BOGOTA
SANTO DOMINGO;BOGOTA
SEATTLE;BOGOTA
SEATTLE;RIONEGRO - ANTIOQUIA
SAN FRANCISCO;BOGOTA
SAN FRANCISCO;RIONEGRO - ANTIOQUIA
SAN JOSE DEL CABO;BOGOTA
SAN JOSE DEL CABO;RIONEGRO - ANTIOQUIA
SAN JOSE;BOGOTA
TAMPICO;BOGOTA
TAMPICO;RIONEGRO - ANTIOQUIA
LETICIA;BOGOTA
LETICIA;RIONEGRO - ANTIOQUIA
TIGUANA;BOGOTA
TIGUANA;RIONEGRO - ANTIOQUIA
TORREON;BOGOTA
TORREON;RIONEGRO - ANTIOQUIA
VILLA HERMOSA;BOGOTA
VILLA HERMOSA;RIONEGRO - ANTIOQUIA
MONTREAL;BOGOTA
MONTREAL;RIONEGRO - ANTIOQUIA
VANCOUVER;BOGOTA
VANCOUVER;RIONEGRO - ANTIOQUIA
TORONTO;BOGOTA
TORONTO;RIONEGRO - ANTIOQUIA
SAN ANDRES;BOGOTA
SAN ANDRES;CALI
SAN ANDRES;CARTAGENA
SAN ANDRES;RIONEGRO - ANTIOQUIA
ARMENIA;BOGOTA
BARRANQUILLA;BOGOTA
BARRANQUILLA;CALI
BARRANQUILLA;RIONEGRO - ANTIOQUIA
BUCARAMANGA;BOGOTA
BUCARAMANGA;RIONEGRO - ANTIOQUIA
BOGOTA;SAN ANDRES
BOGOTA;ARMENIA
BOGOTA;ARMENIA
BOGOTA;BARRANQUILLA
BOGOTA;BUCARAMANGA
BOGOTA;CALI
BOGOTA;CARTAGENA
BOGOTA;CARTAGENA
BOGOTA;CUCUTA
BOGOTA;EL YOPAL
BOGOTA;LETICIA
BOGOTA;RIONEGRO - ANTIOQUIA
BOGOTA;MONTERIA
BOGOTA;NEIVA
BOGOTA;PEREIRA
BOGOTA;PASTO
BOGOTA;PASTO
BOGOTA;SANTA MARTA
BOGOTA;VALLEDUPAR
CALI;SAN ANDRES
CALI;BARRANQUILLA
CALI;BOGOTA
CALI;CARTAGENA
CALI;RIONEGRO - ANTIOQUIA
CALI;MONTERIA
CALI;PASTO
CALI;SANTA MARTA
CARTAGENA;SAN ANDRES
CARTAGENA;BOGOTA
CARTAGENA;BOGOTA
CARTAGENA;CALI
CARTAGENA;RIONEGRO - ANTIOQUIA
CARTAGENA;RIONEGRO - ANTIOQUIA
CARTAGENA;RIONEGRO - ANTIOQUIA
CARTAGENA;PEREIRA
CUCUTA;BOGOTA
CUCUTA;BOGOTA
CUCUTA;RIONEGRO - ANTIOQUIA
EL YOPAL;BOGOTA
LETICIA;BOGOTA
RIONEGRO - ANTIOQUIA;SAN ANDRES
RIONEGRO - ANTIOQUIA;BARRANQUILLA
RIONEGRO - ANTIOQUIA;BUCARAMANGA
RIONEGRO - ANTIOQUIA;BOGOTA
RIONEGRO - ANTIOQUIA;BOGOTA
RIONEGRO - ANTIOQUIA;CALI
RIONEGRO - ANTIOQUIA;CARTAGENA
RIONEGRO - ANTIOQUIA;CARTAGENA
RIONEGRO - ANTIOQUIA;CUCUTA
RIONEGRO - ANTIOQUIA;MONTERIA
RIONEGRO - ANTIOQUIA;PEREIRA
RIONEGRO - ANTIOQUIA;PEREIRA
RIONEGRO - ANTIOQUIA;SANTA MARTA
MONTERIA;BOGOTA
